Media Name,URL
Statistical Abstract of North Carolina Taxes 2024,https://www.ncdor.gov/documents/reports/statistical-abstract-north-carolina-taxes-2024/open
North Carolina Biennial Tax Expenditure Report - 2007,https://www.ncdor.gov/documents/reports/north-carolina-biennial-tax-expenditure-report-2007/open
William S. Lee Tax Credits: Details of Credits Taken by Taxpayer Processed During Calendar Year 2012,https://www.ncdor.gov/documents/reports/william-s-lee-tax-credits-details-credits-taken-taxpayer-processed-during-calendar-year-2012/open
